student_uid,cohort_code,study,university,semester,gender,first_generation,underrepresented,avg_sleep_minutes,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,sleep_midpoint_clock,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa,gpa_change,term_units,term_load_z,under_6h_sleep,sleep_bracket
uw2-046,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,359.4,5.99,57.3,395.4,06:35,0.0519,1.0,3.721,3.77,0.049,18.0,1.603,1,5.5-6h
uw2-047,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,462.4,7.71,25.2,299.8,05:00,0.0713,1.0,3.71,3.45,-0.26,12.0,-1.521,0,7.5h+
uw2-048,uw2,3,University of Washington,Spring 2019,Male,1.0,0.0,446.2,7.44,84.8,364.6,06:05,0.1876,1.0,3.13,3.0,-0.13,15.0,0.041,0,7-7.5h
uw2-049,uw2,3,University of Washington,Spring 2019,Female,0.0,1.0,433.1,7.22,56.6,460.9,07:41,0.0534,0.964,3.731,3.95,0.219,13.0,-1.0,0,7-7.5h
uw2-050,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,421.8,7.03,35.7,441.2,07:21,0.5668,1.0,3.042,3.53,0.488,15.0,0.041,0,7-7.5h
uw2-051,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,436.9,7.28,50.2,413.4,06:53,0.0473,1.0,3.57,3.49,-0.08,14.0,-0.48,0,7-7.5h
uw2-052,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,508.9,8.48,15.4,269.1,04:29,0.0559,0.929,3.546,3.46,-0.086,17.0,1.083,0,7.5h+
uw2-053,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,336.4,5.61,110.6,434.7,07:15,0.8479,0.964,2.539,1.96,-0.579,12.0,-1.521,1,5.5-6h
uw2-054,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,388.9,6.48,37.8,345.0,05:45,0.116,1.0,3.241,3.59,0.349,14.0,-0.48,0,6-6.5h
uw2-055,uw2,3,University of Washington,Spring 2019,Male,1.0,0.0,395.4,6.59,34.7,374.0,06:14,0.1629,1.0,3.7,3.32,-0.38,18.0,1.603,0,6.5-7h
uw2-056,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,428.9,7.15,50.4,404.1,06:44,0.1872,0.607,3.666,3.7,0.034,15.0,0.041,0,7-7.5h
uw2-057,uw2,3,University of Washington,Spring 2019,Male,0.0,1.0,336.4,5.61,33.2,380.6,06:21,0.1741,1.0,3.03,2.0,-1.03,16.0,0.562,1,5.5-6h
uw2-058,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,378.9,6.32,31.0,463.6,07:44,0.7793,0.821,3.32,3.13,-0.19,14.0,-0.48,0,6-6.5h
uw2-059,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,360.8,6.01,51.6,375.0,06:15,0.1029,1.0,2.206,2.54,0.334,17.0,1.083,0,6-6.5h
uw2-060,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,396.6,6.61,35.4,407.9,06:48,0.1087,0.607,3.78,3.8,0.02,17.0,1.083,0,6.5-7h
uw2-061,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,336.0,5.6,57.9,328.2,05:28,0.0667,0.857,3.157,2.9,-0.257,12.0,-1.521,1,5.5-6h
uw2-062,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,416.2,6.94,28.3,342.1,05:42,0.0726,1.0,3.201,3.62,0.419,18.0,1.603,0,6.5-7h
uw2-063,uw2,3,University of Washington,Spring 2019,Female,0.0,1.0,478.5,7.98,61.2,429.1,07:09,0.1368,0.893,2.831,3.08,0.249,18.0,1.603,0,7.5h+
uw2-064,uw2,3,University of Washington,Spring 2019,,0.0,0.0,480.6,8.01,23.8,327.5,05:28,0.0964,1.0,3.141,2.8,-0.341,15.0,0.041,0,7.5h+
uw2-065,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,194.8,3.25,292.3,330.1,05:30,0.7336,0.821,2.947,1.07,-1.877,15.0,0.041,1,<5.5h
uw2-066,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,371.6,6.19,25.4,442.0,07:22,1.1223,0.5,3.252,3.93,0.678,15.0,0.041,0,6-6.5h
uw2-067,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,438.9,7.31,24.8,379.2,06:19,0.1146,1.0,3.534,3.72,0.186,14.0,-0.48,0,7-7.5h
uw2-068,uw2,3,University of Washington,Spring 2019,Male,1.0,0.0,438.0,7.3,25.9,402.2,06:42,0.4073,0.321,3.563,4.0,0.437,15.0,0.041,0,7-7.5h
uw2-069,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,417.2,6.95,42.1,457.8,07:38,0.0883,0.929,3.315,3.53,0.215,15.0,0.041,0,6.5-7h
uw2-070,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,370.7,6.18,16.8,367.6,06:08,0.058,1.0,3.654,3.3,-0.354,14.0,-0.48,0,6-6.5h
uw2-071,uw2,3,University of Washington,Spring 2019,Male,1.0,0.0,438.5,7.31,30.2,313.7,05:14,0.0171,1.0,3.818,3.63,-0.188,15.0,0.041,0,7-7.5h
uw2-072,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,387.5,6.46,33.1,338.2,05:38,0.0234,1.0,3.673,4.0,0.327,15.0,0.041,0,6-6.5h
uw2-073,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,383.7,6.4,53.9,383.4,06:23,0.0397,1.0,2.961,3.45,0.489,13.0,-1.0,0,6-6.5h
uw2-074,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,397.2,6.62,68.5,360.4,06:00,0.0535,1.0,3.348,3.71,0.362,17.0,1.083,0,6.5-7h
uw2-075,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,417.9,6.96,51.0,514.0,08:34,0.5772,0.929,4.0,3.97,-0.03,14.0,-0.48,0,6.5-7h
uw2-076,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,365.0,6.08,47.4,374.2,06:14,0.1579,1.0,3.25,3.27,0.02,15.0,0.041,0,6-6.5h
uw2-077,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,373.6,6.23,73.4,368.7,06:09,0.1149,0.893,2.606,2.57,-0.036,15.0,0.041,0,6-6.5h
uw2-078,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,467.0,7.78,11.9,312.5,05:12,0.0391,1.0,3.925,4.0,0.075,16.0,0.562,0,7.5h+
uw2-079,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,420.9,7.02,37.0,336.0,05:36,0.0512,0.857,3.482,3.33,-0.152,16.0,0.562,0,7-7.5h
uw2-080,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,452.0,7.53,64.3,352.4,05:52,0.2783,0.964,3.215,2.99,-0.225,18.0,1.603,0,7.5h+
uw2-081,uw2,3,University of Washington,Spring 2019,Female,0.0,1.0,432.9,7.22,28.2,420.3,07:00,0.126,0.929,3.39,3.37,-0.02,16.0,0.562,0,7-7.5h
uw2-082,uw2,3,University of Washington,Spring 2019,Female,1.0,1.0,385.0,6.42,11.4,314.8,05:15,0.0302,1.0,3.802,3.85,0.048,18.0,1.603,0,6-6.5h
uw2-083,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,438.6,7.31,23.7,266.8,04:27,0.0188,1.0,3.728,3.5,-0.228,16.0,0.562,0,7-7.5h
uw2-084,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,388.7,6.48,37.1,360.0,06:00,0.0686,0.964,3.959,3.94,-0.019,14.0,-0.48,0,6-6.5h
uw2-085,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,405.2,6.75,31.6,392.3,06:32,0.6326,0.786,2.986,1.55,-1.436,11.0,-2.042,0,6.5-7h
uw2-086,uw2,3,University of Washington,Spring 2019,Female,1.0,1.0,402.6,6.71,73.3,384.9,06:25,0.08,0.893,3.8,3.25,-0.55,13.0,-1.0,0,6.5-7h
uw2-087,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,404.4,6.74,61.1,332.1,05:32,0.1362,1.0,2.996,1.8,-1.196,12.0,-1.521,0,6.5-7h
uw2-088,uw2,3,University of Washington,Spring 2019,Female,1.0,1.0,410.1,6.84,50.4,280.5,04:40,0.124,0.964,3.663,3.35,-0.313,13.0,-1.0,0,6.5-7h
uw2-089,uw2,3,University of Washington,Spring 2019,Male,0.0,1.0,350.8,5.85,117.0,494.2,08:14,0.7539,0.964,3.092,2.26,-0.832,8.0,-3.604,1,5.5-6h
uw2-090,uw2,3,University of Washington,Spring 2019,Male,1.0,0.0,425.8,7.1,29.8,350.6,05:51,0.1898,1.0,3.735,3.4,-0.335,13.0,-1.0,0,7-7.5h
uw2-091,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,367.4,6.12,70.9,344.1,05:44,0.2994,0.321,2.9,3.0,0.1,15.0,0.041,0,6-6.5h
uw2-092,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,357.3,5.96,18.2,402.0,06:42,0.3765,0.321,3.149,2.5,-0.649,17.0,1.083,1,5.5-6h
uw2-093,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,466.3,7.77,19.9,327.1,05:27,0.0578,0.964,3.46,3.37,-0.09,13.0,-1.0,0,7.5h+
uw2-094,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,459.6,7.66,31.6,352.7,05:53,0.1119,1.0,2.998,3.4,0.402,15.0,0.041,0,7.5h+
uw2-095,uw2,3,University of Washington,Spring 2019,Male,0.0,1.0,337.5,5.62,21.8,448.0,07:28,0.3415,0.571,3.409,3.11,-0.299,17.0,1.083,1,5.5-6h
uw2-096,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,411.5,6.86,35.1,440.8,07:21,0.1034,0.857,3.724,3.86,0.136,18.0,1.603,0,6.5-7h
uw2-097,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,507.1,8.45,19.8,322.1,05:22,0.0218,0.714,3.708,3.1,-0.608,15.0,0.041,0,7.5h+
uw2-098,uw2,3,University of Washington,Spring 2019,Female,0.0,1.0,413.5,6.89,38.4,441.0,07:21,0.1269,0.893,3.946,3.93,-0.016,15.0,0.041,0,6.5-7h
uw2-099,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,447.6,7.46,44.2,400.0,06:40,0.1997,0.893,3.414,3.47,0.056,15.0,0.041,0,7-7.5h
uw2-100,uw2,3,University of Washington,Spring 2019,Male,0.0,1.0,463.1,7.72,37.6,386.2,06:26,0.13,0.714,3.3,2.87,-0.43,15.0,0.041,0,7.5h+
uw2-101,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,402.9,6.72,38.0,305.5,05:06,0.1332,0.964,3.492,2.94,-0.552,14.0,-0.48,0,6.5-7h
uw2-102,uw2,3,University of Washington,Spring 2019,Female,1.0,1.0,335.6,5.59,41.4,377.9,06:18,1.2016,0.964,2.851,2.97,0.119,16.0,0.562,1,5.5-6h
uw2-103,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,461.1,7.68,20.0,296.6,04:57,0.107,1.0,4.0,4.0,0.0,14.0,-0.48,0,7.5h+
uw2-104,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,352.8,5.88,79.1,419.3,06:59,0.5716,0.964,3.657,3.3,-0.357,13.0,-1.0,1,5.5-6h
uw2-105,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,349.6,5.83,100.3,354.9,05:55,0.1481,1.0,3.635,3.83,0.195,18.0,1.603,1,5.5-6h
uw2-106,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,368.2,6.14,36.2,351.4,05:51,0.0375,0.786,2.83,2.67,-0.16,15.0,0.041,0,6-6.5h
uw2-107,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,410.6,6.84,18.9,400.6,06:41,0.2043,0.75,3.863,3.8,-0.063,15.0,0.041,0,6.5-7h
uw2-108,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,436.2,7.27,20.8,319.5,05:20,0.0293,0.714,3.296,3.33,0.034,18.0,1.603,0,7-7.5h
uw2-109,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,449.6,7.49,15.6,351.4,05:51,0.0446,0.893,3.611,3.09,-0.521,14.0,-0.48,0,7-7.5h
uw2-110,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,451.1,7.52,29.8,306.2,05:06,0.0593,1.0,3.626,3.54,-0.086,17.0,1.083,0,7.5h+
uw2-111,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,511.8,8.53,32.1,392.3,06:32,0.0233,0.893,3.24,2.8,-0.44,13.0,-1.0,0,7.5h+
uw2-112,uw2,3,University of Washington,Spring 2019,Male,1.0,0.0,386.2,6.44,47.8,337.9,05:38,0.1725,0.714,3.456,3.15,-0.306,13.0,-1.0,0,6-6.5h
uw2-113,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,392.8,6.55,46.3,285.7,04:46,0.2217,1.0,3.385,2.77,-0.615,14.0,-0.48,0,6.5-7h
uw2-114,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,391.9,6.53,40.8,375.8,06:16,0.1503,1.0,3.876,3.87,-0.006,14.0,-0.48,0,6.5-7h
uw2-115,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,335.3,5.59,83.4,528.3,08:48,0.6334,0.964,1.588,0.35,-1.238,10.0,-2.562,1,5.5-6h
uw2-116,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,409.8,6.83,30.0,407.5,06:48,0.0195,1.0,3.26,3.52,0.26,13.0,-1.0,0,6.5-7h
uw2-117,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,393.4,6.56,34.5,364.2,06:04,0.0691,0.929,3.053,3.0,-0.053,15.0,0.041,0,6.5-7h
uw2-118,uw2,3,University of Washington,Spring 2019,Male,1.0,0.0,384.6,6.41,59.0,341.9,05:42,0.1217,0.893,3.075,2.46,-0.615,15.0,0.041,0,6-6.5h
uw2-119,uw2,3,University of Washington,Spring 2019,Male,,0.0,403.0,6.72,23.4,294.8,04:55,0.0324,1.0,3.553,3.27,-0.283,18.0,1.603,0,6.5-7h
uw2-120,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,382.8,6.38,48.4,504.3,08:24,0.3584,1.0,3.154,3.28,0.126,12.0,-1.521,0,6-6.5h
uw2-121,uw2,3,University of Washington,Spring 2019,Male,0.0,1.0,426.5,7.11,67.3,468.2,07:48,0.0672,1.0,3.165,3.33,0.165,16.0,0.562,0,7-7.5h
uw2-122,uw2,3,University of Washington,Spring 2019,Male,1.0,0.0,417.2,6.95,70.6,361.1,06:01,0.1523,1.0,2.617,3.35,0.733,17.0,1.083,0,6.5-7h
uw2-123,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,452.6,7.54,93.4,400.4,06:40,0.0901,0.893,3.224,3.5,0.276,15.0,0.041,0,7.5h+
uw2-124,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,414.6,6.91,34.7,348.6,05:49,0.0559,0.929,3.671,3.62,-0.051,15.0,0.041,0,6.5-7h
uw2-125,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,369.3,6.15,37.2,322.3,05:22,0.102,0.929,3.139,3.14,0.001,14.0,-0.48,0,6-6.5h
uw2-126,uw2,3,University of Washington,Spring 2019,Male,0.0,1.0,403.4,6.72,64.0,337.4,05:37,0.1748,0.964,3.324,3.46,0.136,14.0,-0.48,0,6.5-7h
uw2-127,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,399.1,6.65,47.8,366.7,06:07,0.1233,1.0,3.553,3.54,-0.013,13.0,-1.0,0,6.5-7h
uw2-128,uw2,3,University of Washington,Spring 2019,Female,1.0,0.0,414.8,6.91,70.1,426.8,07:07,0.9403,0.929,3.427,3.37,-0.057,15.0,0.041,0,6.5-7h
uw2-129,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,429.2,7.15,45.6,405.1,06:45,0.1437,0.929,3.714,3.19,-0.524,13.0,-1.0,0,7-7.5h
uw2-130,uw2,3,University of Washington,Spring 2019,Female,0.0,1.0,391.9,6.53,45.6,368.1,06:08,0.2938,0.964,2.799,2.86,0.061,16.0,0.562,0,6.5-7h
uw2-131,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,399.1,6.65,51.7,446.2,07:26,0.0936,1.0,3.681,3.17,-0.511,15.0,0.041,0,6.5-7h
uw2-132,uw2,3,University of Washington,Spring 2019,Male,1.0,1.0,509.3,8.49,33.5,405.2,06:45,0.0515,1.0,3.156,3.47,0.314,16.0,0.562,0,7.5h+
uw2-133,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,445.3,7.42,25.2,382.6,06:23,0.1686,0.929,3.535,2.97,-0.565,15.0,0.041,0,7-7.5h
uw2-134,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,298.3,4.97,6.6,584.7,09:45,10.5954,0.321,3.88,3.52,-0.36,18.0,1.603,1,<5.5h
uw2-135,uw2,3,University of Washington,Spring 2019,Female,0.0,1.0,407.4,6.79,49.1,415.0,06:55,0.0486,0.929,3.601,3.63,0.029,16.0,0.562,0,6.5-7h
uw2-136,uw2,3,University of Washington,Spring 2019,Female,0.0,1.0,436.3,7.27,24.1,433.8,07:14,0.1573,0.786,3.948,3.91,-0.038,18.0,1.603,0,7-7.5h
uw2-137,uw2,3,University of Washington,Spring 2019,Male,0.0,0.0,388.0,6.47,41.1,321.6,05:22,0.0574,0.357,3.162,3.71,0.548,19.0,2.124,0,6-6.5h
uw2-138,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,403.5,6.72,35.5,427.4,07:07,0.0521,0.964,3.364,3.01,-0.354,15.0,0.041,0,6.5-7h
uw2-139,uw2,3,University of Washington,Spring 2019,Female,0.0,0.0,435.3,7.26,40.4,427.1,07:07,0.1286,0.929,3.625,3.49,-0.135,13.0,-1.0,0,7-7.5h
nh-001,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,427.9,7.13,57.0,309.6,05:10,0.0596,0.933,3.111,3.333,0.222,,,0,7-7.5h
nh-002,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,371.6,6.19,29.8,409.0,06:49,0.1929,0.967,3.905,3.952,0.047,,,0,6-6.5h
nh-003,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,402.0,6.7,76.0,454.4,07:34,0.0861,1.0,3.278,3.611,0.333,,,0,6.5-7h
nh-004,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,427.3,7.12,48.3,337.9,05:38,0.0764,1.0,3.778,3.722,-0.056,,,0,7-7.5h
nh-005,nh,4,University of Notre Dame,Spring 2016,Male,0.0,1.0,440.2,7.34,30.8,383.4,06:23,0.1366,0.933,3.333,3.334,0.001,,,0,7-7.5h
nh-006,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,306.0,5.1,49.3,460.1,07:40,0.2224,0.867,3.667,3.778,0.111,,,1,<5.5h
nh-007,nh,4,University of Notre Dame,Spring 2016,Female,1.0,0.0,456.6,7.61,51.0,385.4,06:25,0.1318,1.0,3.333,3.667,0.334,,,0,7.5h+
nh-008,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,351.0,5.85,54.4,362.0,06:02,0.1596,0.667,3.667,3.556,-0.111,,,1,5.5-6h
nh-009,nh,4,University of Notre Dame,Spring 2016,Male,1.0,1.0,429.6,7.16,59.7,425.3,07:05,0.2094,0.933,3.167,3.5,0.333,,,0,7-7.5h
nh-010,nh,4,University of Notre Dame,Spring 2016,Female,0.0,1.0,412.5,6.88,21.6,353.0,05:53,0.0622,1.0,3.762,3.714,-0.048,,,0,6.5-7h
nh-011,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,415.4,6.92,36.1,417.1,06:57,0.1272,0.833,3.833,3.833,0.0,,,0,6.5-7h
nh-012,nh,4,University of Notre Dame,Spring 2016,Female,1.0,0.0,419.9,7.0,57.0,310.9,05:11,0.0523,1.0,2.933,3.278,0.345,,,0,7-7.5h
nh-013,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,279.2,4.65,122.8,471.6,07:52,0.7389,0.967,3.778,3.944,0.166,,,1,<5.5h
nh-014,nh,4,University of Notre Dame,Spring 2016,Male,0.0,1.0,381.8,6.36,64.9,372.6,06:13,0.1164,1.0,3.556,3.733,0.177,,,0,6-6.5h
nh-015,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,425.1,7.09,11.7,396.2,06:36,0.1993,0.967,3.944,3.944,0.0,,,0,7-7.5h
nh-016,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,460.7,7.68,72.2,448.1,07:28,0.0809,0.967,3.611,3.944,0.333,,,0,7.5h+
nh-017,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,357.4,5.96,127.9,394.4,06:34,0.178,1.0,3.944,4.0,0.056,,,1,5.5-6h
nh-018,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,427.8,7.13,34.5,337.1,05:37,0.1616,1.0,3.667,3.917,0.25,,,0,7-7.5h
nh-019,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,383.9,6.4,18.4,402.6,06:43,0.0239,0.867,3.778,3.889,0.111,,,0,6-6.5h
nh-020,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,393.5,6.56,68.4,346.3,05:46,0.1196,1.0,3.889,3.944,0.055,,,0,6.5-7h
nh-021,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,405.3,6.76,97.4,463.2,07:43,0.1893,1.0,3.333,2.833,-0.5,,,0,6.5-7h
nh-022,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,449.0,7.48,18.7,305.3,05:05,0.063,0.967,3.944,3.905,-0.039,,,0,7-7.5h
nh-023,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,372.1,6.2,40.1,457.9,07:38,0.1862,0.833,3.134,3.444,0.31,,,0,6-6.5h
nh-024,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,399.7,6.66,38.7,404.8,06:45,0.1115,0.967,4.0,3.889,-0.111,,,0,6.5-7h
nh-025,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,378.0,6.3,13.8,383.8,06:24,0.1192,1.0,3.944,3.889,-0.055,,,0,6-6.5h
nh-026,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,426.0,7.1,35.9,351.1,05:51,0.0552,0.967,3.944,3.889,-0.055,,,0,7-7.5h
nh-027,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,304.0,5.07,49.2,544.1,09:04,1.0208,0.8,3.905,3.476,-0.429,,,1,<5.5h
nh-028,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,382.4,6.37,50.7,405.1,06:45,0.0963,1.0,3.444,3.778,0.334,,,0,6-6.5h
nh-029,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,397.8,6.63,25.6,318.3,05:18,0.0238,1.0,3.5,3.667,0.167,,,0,6.5-7h
nh-030,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,374.1,6.24,44.8,394.1,06:34,0.2159,0.633,3.067,3.467,0.4,,,0,6-6.5h
nh-031,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,332.7,5.54,39.8,465.2,07:45,0.7882,0.8,3.833,3.667,-0.166,,,1,5.5-6h
nh-032,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,413.6,6.89,54.4,341.4,05:41,0.1354,0.967,3.889,3.722,-0.167,,,0,6.5-7h
nh-033,nh,4,University of Notre Dame,Spring 2016,Male,0.0,1.0,369.9,6.17,18.6,402.7,06:43,0.0867,0.967,3.619,3.81,0.191,,,0,6-6.5h
nh-034,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,393.4,6.56,29.9,361.3,06:01,0.0444,0.967,3.111,3.5,0.389,,,0,6.5-7h
nh-035,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,324.1,5.4,64.4,482.3,08:02,0.9094,0.7,3.389,3.733,0.344,,,1,<5.5h
nh-036,nh,4,University of Notre Dame,Spring 2016,Female,0.0,1.0,282.6,4.71,100.9,497.1,08:17,12.2105,0.267,3.222,3.611,0.389,,,1,<5.5h
nh-037,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,411.6,6.86,7.2,349.7,05:50,0.0116,0.933,3.944,3.889,-0.055,,,0,6.5-7h
nh-038,nh,4,University of Notre Dame,Spring 2016,Female,0.0,1.0,353.2,5.89,82.1,353.0,05:53,0.0659,1.0,3.4,3.056,-0.344,,,1,5.5-6h
nh-039,nh,4,University of Notre Dame,Spring 2016,Female,0.0,1.0,419.6,6.99,86.5,497.3,08:17,1.9035,0.567,3.428,3.533,0.105,,,0,6.5-7h
nh-040,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,412.9,6.88,54.2,335.9,05:36,0.0693,0.967,3.556,3.444,-0.112,,,0,6.5-7h
nh-041,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,375.0,6.25,79.1,340.2,05:40,0.2345,0.833,3.5,3.556,0.056,,,0,6-6.5h
nh-042,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,410.8,6.85,37.8,281.7,04:42,0.1272,0.6,4.0,3.952,-0.048,,,0,6.5-7h
nh-043,nh,4,University of Notre Dame,Spring 2016,Female,0.0,1.0,404.4,6.74,33.6,340.6,05:41,0.1258,0.967,4.0,3.833,-0.167,,,0,6.5-7h
nh-044,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,371.2,6.19,37.8,437.4,07:17,0.3616,0.867,3.722,3.167,-0.555,,,0,6-6.5h
nh-045,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,395.9,6.6,92.7,424.8,07:05,0.2255,0.967,3.389,3.5,0.111,,,0,6.5-7h
nh-046,nh,4,University of Notre Dame,Spring 2016,Male,0.0,1.0,369.0,6.15,49.0,322.0,05:22,0.1166,0.867,3.444,3.667,0.223,,,0,6-6.5h
nh-047,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,413.7,6.89,29.4,331.6,05:32,0.0523,0.967,3.571,3.778,0.207,,,0,6.5-7h
nh-048,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,438.9,7.31,22.9,376.3,06:16,0.049,0.833,3.556,3.611,0.055,,,0,7-7.5h
nh-049,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,389.4,6.49,32.3,350.2,05:50,0.0761,1.0,3.714,3.667,-0.047,,,0,6-6.5h
nh-050,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,483.3,8.06,26.3,400.4,06:40,0.0796,0.8,3.714,3.867,0.153,,,0,7.5h+
nh-051,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,407.2,6.79,26.6,372.9,06:13,0.6276,0.8,3.444,3.722,0.278,,,0,6.5-7h
nh-052,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,383.7,6.39,25.3,354.7,05:55,0.0937,0.733,3.833,3.833,0.0,,,0,6-6.5h
nh-053,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,341.5,5.69,22.6,394.4,06:34,0.1377,0.967,3.556,2.944,-0.612,,,1,5.5-6h
nh-054,nh,4,University of Notre Dame,Spring 2016,Female,0.0,0.0,379.3,6.32,28.2,375.0,06:15,0.1784,1.0,3.889,3.667,-0.222,,,0,6-6.5h
nh-055,nh,4,University of Notre Dame,Spring 2016,Male,0.0,0.0,333.1,5.55,75.4,373.1,06:13,0.1783,0.9,3.778,3.611,-0.167,,,1,5.5-6h
